,职位名,公司名,地点,薪资
0,Java开发工程师(004042),vivo智能手机（维沃移动通信有限公司）,东莞,1.5-3万/月
1,Java开发工程师,广州市保伦电子有限公司,广州-番禺区,0.9-1.2万/月
2,Java开发工程师,科立讯通信股份有限公司,深圳,1-1.5万/月
3,JAVA 数据开发工程师（中级）,浙江优创信息技术有限公司,杭州,1.2-2万/月
4,Java开发教师（带薪寒假五险双休）,湖北美和易思教育科技有限公司,南宁,0.8-1万/月
5,Java开发工程师,广州宏算信息科技有限公司,广州-海珠区,0.6-1万/月
6,Java开发实习生,河南盟立方计算机科技有限公司,郑州-管城回族区,2-3千/月
7,Java开发工程师,广州锐迪医疗仪器有限公司,广州,1-2万/月
8,Java开发工程师,陕西腾兮汇智企业管理有限公司,西安-雁塔区,6.5-8.5千/月
9,Java开发工程师,广州豪泰信息技术有限公司,广州-黄埔区,0.7-2万/月
10,java和javascript开发人员（双休，五险一金）,佛山好易买互联网科技有限公司,佛山-顺德区,1-1.5万/月
11,Java开发工程师,南京安讯科技有限责任公司,南京-雨花台区,1.5-2万/月
12,Java开发主管,深圳市万连软件有限公司,异地招聘,1.5-3万/月
13,Java开发工程师,山东兰德医疗器械配送有限公司,济宁,4.5-5千/月
14,Java开发工程师,陕西漫森景观设计有限公司,重庆-九龙坡区,0.7-1万/月
15,JAVA开发工程师,蜜商电子商务科技（深圳）有限公司,广州-黄埔区,1.4-1.6万/月
16,Java高级开发工程师,江苏掌仓网络科技有限公司,南京-江宁区,4-6千/月
17,Java开发（佛山）,孩子王儿童用品股份有限公司,南京-江宁区,3-4.5千/月
18,Java高级开发工程师,云南格泰科技有限公司,昆明-西山区,1-1.5万/月
19,Java开发工程师,大连东软思维科技发展有限公司,佛山-顺德区,1-1.5万/月
20,Java中级开发工程师,深圳市微创云启科技有限公司,深圳-南山区,1.5-2.8万/月
21,Java中级开发工程师,贵州四方合创科技有限公司,贵阳,0.6-1.5万/月
22,Java开发工程师,天津百望金赋科技有限公司,天津,7-8千/月
23,Java开发工程师,深圳九明珠信息科技有限公司,深圳-福田区,1-1.5万/月
24,Java高级开发工程师,Thoughtworks,成都-高新区,1.5-2.5万/月
25,Java开发工程师,广东雅仕格科技集团有限公司,珠海,0.6-1.2万/月
